dataset,utt_id,duration_sec,ref,hyp,wer
librispeech_test_clean,1284-1180-0021,9.84,I THINK THE NEXT GLASS CAT THE MAGICIAN MAKES WILL HAVE NEITHER BRAINS NOR HEART FOR THEN IT WILL NOT OBJECT TO CATCHING MICE AND MAY PROVE OF SOME USE TO US,"I think the next glass cap the magician makes will have neither brains nor heart, for then it will not object to catching mice and may prove of some use to us.",0.03125
librispeech_test_clean,8230-279154-0019,18.145,IT WOULD SEEM THAT ONLY RATHER RECENT EVENTS CAN BE PLACED AT ALL ACCURATELY BY MEANS OF FEELINGS GIVING THEIR TEMPORAL RELATION TO THE PRESENT BUT IT IS CLEAR THAT SUCH FEELINGS MUST PLAY AN ESSENTIAL PART IN THE PROCESS OF DATING REMEMBERED EVENTS,"It would seem that only rather recent events can be placed at all accurately by means of feelings giving their temporal relation to the present, but it is clear that such feelings must play an essential part in the process of dating remembered events.",0.0
librispeech_test_clean,2961-960-0014,8.775,THE IDEAS ALSO REMAIN BUT THEY HAVE BECOME TYPES IN NATURE FORMS OF MEN ANIMALS BIRDS FISHES,"The ideas also remain, but they have become types in nature, forms of men, animals, birds, fishes.",0.0
librispeech_test_clean,7729-102255-0008,19.065,ALL THE TERRITORIAL DIGNITARIES WERE PRESENT GOVERNOR SHANNON PRESIDED JOHN CALHOUN THE SURVEYOR GENERAL MADE THE PRINCIPAL SPEECH A DENUNCIATION OF THE ABOLITIONISTS SUPPORTING THE TOPEKA MOVEMENT CHIEF JUSTICE LECOMPTE DIGNIFIED THE OCCASION WITH APPROVING REMARKS,"All the territorial dignitaries were present. Governor Shannon presided John Calhoun, the surveyor general, made the principal speech a denunciation of the abolitionist supporting the Topeka movement. Chief Justice LeCaf dignified the occasion with approving remarks.",0.05555555555555555
librispeech_test_clean,7729-102255-0046,19.945,IN THE EARLY MORNING OF THE NEXT DAY MAY TWENTY NINTH A COMPANY OF DRAGOONS WITH ONE EMPTY SADDLE CAME DOWN FROM THE FORT AND WHILE THE PRO SLAVERY MEN STILL SLEPT THE PRISONER AND HIS ESCORT WERE ON THEIR WAY ACROSS THE PRAIRIES TO LECOMPTON IN THE CHARGE OF OFFICERS OF THE UNITED STATES ARMY,"In the early morning of the next day, May 29, a company of Dragunz with one empty saddle came down from the fort, and while the pro-slavery men still slept, the prisoner and his escort were on their way across the prairies to La Compton in the charge of officers of the United States Army.",0.08928571428571429
librispeech_test_clean,6930-76324-0019,2.575,NOW LET'S DUST THE FURNITURE AND PICTURES,Now let's dust the furniture and pictures.,0.0
librispeech_test_clean,6930-81414-0025,2.53,MY POSITION WAS TOO TERRIBLE,My position was too terrible.,0.0
librispeech_test_clean,6930-75918-0016,10.015,YES I NEED REPOSE MANY THINGS HAVE AGITATED ME TO DAY BOTH IN MIND AND BODY WHEN YOU RETURN TO MORROW I SHALL NO LONGER BE THE SAME MAN,"Yes, I need to repose, many things have agitated me today, both in mind and body. When you return tomorrow, I shall no longer be the same man.",0.1724137931034483
librispeech_test_clean,5639-40744-0038,13.8,JUST AT THE MOMENT WHEN THE TEARS OF THE PITYING BEHOLDERS FLOWED FASTEST AND THEIR EJACULATIONS WERE MOST EXPRESSIVE OF DESPAIR LEOCADIA GAVE SIGNS OF RECOVERY AND BROUGHT BACK GLADNESS TO THE HEARTS OF ALL,"Just at the moment, when the tears of the pitying beholders flowed fastest, and their ejaculations were most expressive of despair, leocadia gave signs of recovery, and brought back gladness through the hearts of all.",0.02857142857142857
librispeech_test_clean,1284-1181-0006,11.405,WELL THAT MAY BE TRUE AGREED MARGOLOTTE BUT ON THE CONTRARY A SERVANT WITH TOO MUCH BRAINS IS SURE TO BECOME INDEPENDENT AND HIGH AND MIGHTY AND FEEL ABOVE HER WORK,"Well, that may be true, agreed Mark a lot. But on the commentary, a servant with too much brains is sure to become independent and high in mighty and feel above her work.",0.16129032258064516
librispeech_test_clean,8230-279154-0032,3.88,IT IS THIS THAT IS OF INTEREST TO THEORY OF KNOWLEDGE,It is this that is of interest to theory of knowledge.,0.0
librispeech_test_clean,5142-33396-0014,3.245,THIRTY MEN ONE AFTER ANOTHER RAISED THEIR HORNS AND SAID,"30 men, one after another, raised their horns and said,",0.1
librispeech_test_clean,2961-960-0006,15.725,THE FANCIES OF THE NEO PLATONISTS ARE ONLY INTERESTING TO US BECAUSE THEY EXHIBIT A PHASE OF THE HUMAN MIND WHICH PREVAILED WIDELY IN THE FIRST CENTURIES OF THE CHRISTIAN ERA AND IS NOT WHOLLY EXTINCT IN OUR OWN DAY,"The fancies of the Neoplatnists are only interesting to us because they exhibit a phase of the human mind which prevailed widely in the first centuries of the Christian era, and is not wholly extinct in our own day.",0.05
librispeech_test_clean,8463-294828-0028,7.915,I OPENED A LINE OF CREDIT SUFFICIENT TO COVER THE BABIRUSA AND CONSEIL AT MY HEELS I JUMPED INTO A CARRIAGE,"I opened a line of credits sufficient to cover the barbarousa, and can say, at my heels, I jumped into a carriage.",0.19047619047619047
librispeech_test_clean,5142-36586-0003,5.055,BUT THIS SUBJECT WILL BE MORE PROPERLY DISCUSSED WHEN WE TREAT OF THE DIFFERENT RACES OF MANKIND,But this subject will be more properly discussed when we treat of the different races of mankind.,0.0
librispeech_test_clean,7176-88083-0022,9.485,THE HAWK EMBITTERED BY THE LOSS OF HIS FIRST QUARRY HAD BECOME AS DOGGED IN PURSUIT AS A WEASEL NOT TO BE SHAKEN OFF OR EVADED OR DECEIVED,"The hawk, embittered by the loss of his first quarry, had become as dogged and pursued as a weasel, not to be shaken off or evaded or deceived.",0.07142857142857142
librispeech_test_clean,8230-279154-0015,8.05,THEY MUST HAVE SOME CHARACTERISTIC WHICH MAKES US REGARD THEM AS REFERRING TO MORE OR LESS REMOTE PORTIONS OF THE PAST,"They must have some characteristic, which makes us regard them as referring to more or less remote portions of the past.",0.0
librispeech_test_clean,8463-287645-0000,4.73,THIS WAS WHAT DID THE MISCHIEF SO FAR AS THE RUNNING AWAY WAS CONCERNED,This was what did the mischief so far as the running away was concerned.,0.0
librispeech_test_clean,8463-294825-0001,7.805,THIS REALITY BEGINS TO EXPLAIN THE DARK POWER AND OTHERWORLDLY FASCINATION OF TWENTY THOUSAND LEAGUES UNDER THE SEAS,This reality begins to explain the dark power and other worldly fascination of twenty thousand leagues under the seas.,0.1111111111111111
librispeech_test_clean,5142-33396-0037,3.575,HAKON THERE SHALL BE YOUR CONSTANT COMPANION FRIEND FARMER,Hawk in there shall be your constant companion friend farmer.,0.2222222222222222
librispeech_test_clean,7729-102255-0016,11.61,THE GOVERNOR ON HIS PART BECOMING DOUBTFUL OF THE LEGALITY OF EMPLOYING MISSOURI MILITIA TO ENFORCE KANSAS LAWS WAS ALSO EAGER TO SECURE THE HELP OF FEDERAL TROOPS,"The governor on his part, becoming doubtful of the legality of employing Missouri militia to enforce Kansas laws, was also eager to secure the help of federal troops.",0.0
librispeech_test_clean,1284-1181-0008,6.08,I THINK THAT WILL DO SHE CONTINUED FOR THE OTHER QUALITIES ARE NOT NEEDED IN A SERVANT,"I think that will do, she continued, for the other qualities are not needed in a servant.",0.0
librispeech_test_clean,7176-92135-0009,4.38,AND I SHOULD BEGIN WITH A SHORT HOMILY ON SOLILOQUY,and I should begin with a short homily on the little liquid.,0.3
librispeech_test_clean,6930-75918-0002,5.025,CONGRATULATIONS WERE POURED IN UPON THE PRINCESS EVERYWHERE DURING HER JOURNEY,"Congratulations, we're poured in upon the princess everywhere during her journey.",0.18181818181818182
librispeech_test_clean,3575-170457-0025,9.205,AGAIN I THANK YOU THIS INCIDENT I SUPPOSE WILL BE RENEWED NO MORE IF I LIVE TO BE AN OLD WOMAN I SHALL REMEMBER IT THIRTY YEARS HENCE AS A BRIGHT DREAM,"Again, I thank you, this incident, I suppose, will be renewed no more. If I live to be an old woman, I shall remember it 30 years hence as a bright dream.",0.03125
librispeech_test_clean,1284-1180-0028,6.045,A BED QUILT MADE OF PATCHES OF DIFFERENT KINDS AND COLORS OF CLOTH ALL NEATLY SEWED TOGETHER,A bed quilt made of patches of different kinds and colors of cloth all neatly sewed together.,0.0
librispeech_test_clean,8463-287645-0011,6.38,SHE WAS A LARGE HOMELY WOMAN THEY WERE COMMON WHITE PEOPLE WITH NO REPUTATION IN THE COMMUNITY,"She was a large, homely woman. They were common white people with no reputation in the community.",0.0
librispeech_test_clean,6930-76324-0012,4.655,WE'LL COME IN HERE THIS AFTERNOON WITH OLD CLOTHES ON AND HAVE A REGULAR HOUSE CLEANING,We'll come in here this afternoon with old clothes on and have a regular house cleaning.,0.0
librispeech_test_clean,1995-1826-0014,2.5,COTTON SHE PAUSED,"Cotton, she passed.",0.3333333333333333
librispeech_test_clean,8455-210777-0043,3.145,BUT WHAT IS THE DELICATE MISSION I ASKED,But what is the delicate mission I asked?,0.0
librispeech_test_clean,1284-1180-0017,10.68,AT ONE END STOOD A GREAT FIREPLACE IN WHICH A BLUE LOG WAS BLAZING WITH A BLUE FLAME AND OVER THE FIRE HUNG FOUR KETTLES IN A ROW ALL BUBBLING AND STEAMING AT A GREAT RATE,"One end stood a great fireplace, in which a blue log was blazing with a blue flame, and over the fire hung four kettles in a row, all bubbling and steaming at a great rate.",0.027777777777777776
librispeech_test_clean,8455-210777-0036,15.065,I CAN AFFORD TO SMILE BECAUSE I AM ABSOLUTELY POWERLESS BEFORE YOU BUT I DO NOT THE LESS FEEL THAT IN A MATTER IN WHICH THE PROGRESS OF THE WORLD IS CONCERNED I OR RATHER WE HAVE BEEN PUT DOWN BY BRUTE FORCE,"I can afford to smile because I am absolutely powerless before you. But I do not, the less, feel that in a matter of which the progress of the world is concerned I, or rather we, have been put down by brute force.",0.023255813953488372
librispeech_test_clean,1320-122617-0011,9.76,THE LODGE IN WHICH UNCAS WAS CONFINED WAS IN THE VERY CENTER OF THE VILLAGE AND IN A SITUATION PERHAPS MORE DIFFICULT THAN ANY OTHER TO APPROACH OR LEAVE WITHOUT OBSERVATION,"The lodge in which Onkus was confined was in the very center of the village, and in a situation perhaps more difficult than any other to approach or leave without observation.",0.03225806451612903
librispeech_test_clean,1284-134647-0001,10.275,THE EDICT OF MILAN THE GREAT CHARTER OF TOLERATION HAD CONFIRMED TO EACH INDIVIDUAL OF THE ROMAN WORLD THE PRIVILEGE OF CHOOSING AND PROFESSING HIS OWN RELIGION,"The Edict of Milan, the great charter of toleration, had confirmed to each individual of the Roman world the privilege of choosing and professing his own religion.",0.0
librispeech_test_clean,6930-76324-0001,3.2,THEY WERE CERTAINLY NO NEARER THE SOLUTION OF THEIR PROBLEM,They were certainly no near the solution of their problem.,0.1
librispeech_test_clean,2961-961-0021,4.94,BUT I WOULD NOT SPEAK AT THE TIME BECAUSE I WANTED TO REFRESH MY MEMORY,But I would not speak at the time because I wanted to refresh my memory.,0.0
librispeech_test_clean,1320-122617-0002,13.585,IN OTHER WORDS WHILE HE HAD IMPLICIT FAITH IN THE ABILITY OF BALAAM'S ASS TO SPEAK HE WAS SOMEWHAT SKEPTICAL ON THE SUBJECT OF A BEAR'S SINGING AND YET HE HAD BEEN ASSURED OF THE LATTER ON THE TESTIMONY OF HIS OWN EXQUISITE ORGANS,"In other words, while he had implicit faith in the ability of Balum's ass to speak, he was somewhat skeptical on the subject of a bear's singing, and yet he had been assured of the latter on the testimony of his own exquisite organs.",0.021739130434782608
librispeech_test_clean,7729-102255-0038,7.92,ATCHISON WHO HAD BEEN HARANGUING THE MOB PLANTED HIS TWO GUNS BEFORE THE BUILDING AND TRAINED THEM UPON IT,"Atchison, who had been herringing the mob, planted his two guns before the building and trained them upon it.",0.05263157894736842
librispeech_test_clean,7127-75946-0014,10.175,THE QUEENS HAD TAKEN THEIR SEATS UPON A MAGNIFICENT DIAS OR PLATFORM ERECTED UPON THE BORDERS OF THE LAKE IN A THEATER OF WONDERFUL ELEGANCE OF CONSTRUCTION,The Queens had taken their seats upon a magnificent dais or platform erected upon the borders of the lake in a theater of wonderful elegance of construction.,0.037037037037037035
librispeech_test_clean,3575-170457-0053,11.945,BUT ANNE HAD BEGUN TO SUFFER JUST BEFORE THE HOLIDAYS AND CHARLOTTE WATCHED OVER HER YOUNGER SISTERS WITH THE JEALOUS VIGILANCE OF SOME WILD CREATURE THAT CHANGES HER VERY NATURE IF DANGER THREATENS HER YOUNG,But Anne had begun to suffer just before the holidays and Charlotte watched over her younger sisters with a jealous vigilance of some wild creature that changes her very nature if danger threatens her young.,0.02857142857142857
librispeech_test_clean,3575-170457-0034,3.495,IN THIS MONOTONOUS LIFE OF MINE THAT WAS A PLEASANT EVENT,in this monotonous life of mine that was a pleasant event.,0.0
librispeech_test_clean,6930-76324-0007,2.82,NOW WHAT HAVE YOU TO SAY CYNTHIA SPRAGUE,"Now what have you to say, Cynthia Sprague?",0.0
librispeech_test_clean,6930-75918-0005,13.16,THE COUNT HAD THROWN HIMSELF BACK ON HIS SEAT LEANING HIS SHOULDERS AGAINST THE PARTITION OF THE TENT AND REMAINED THUS HIS FACE BURIED IN HIS HANDS WITH HEAVING CHEST AND RESTLESS LIMBS,"The Count had thrown himself back on his seat, leaning his shoulders against the partition of the tent and remained thus. His face buried in his hands with heaving chest and restless limbs.",0.0
librispeech_test_clean,1320-122612-0004,6.425,DISTRUSTING HIS OWN JUDGMENT HIS APPEALS TO THE OPINION OF CHINGACHGOOK WERE FREQUENT AND EARNEST,"distrusting his own judgment, his appeals to the opinion of Chingachukwa Frequent and earnest.",0.13333333333333333
librispeech_test_clean,6930-75918-0008,4.785,CAN YOU IMAGINE WHY BUCKINGHAM HAS BEEN SO VIOLENT I SUSPECT,Can you imagine why Buckingham has been so violent? I suspect,0.0
librispeech_test_clean,8455-210777-0050,3.945,ONE OF US ALWAYS REMAINS ON BOARD WHILE THE OTHER IS ON SHORE,One of us always remains on board while the other is unsure.,0.15384615384615385
librispeech_test_clean,2961-961-0005,3.775,SOME POEMS OF SOLON WERE RECITED BY THE BOYS,Some poems of Salon were recited by the boys.,0.1111111111111111
librispeech_test_clean,8230-279154-0030,7.28,SEMON'S TWO BOOKS MENTIONED IN AN EARLIER LECTURE DO NOT TOUCH KNOWLEDGE MEMORY AT ALL CLOSELY,"Simmons 2 books, mentioned in an earlier lecture, do not touch knowledge memory at all closely.",0.17647058823529413
librispeech_test_clean,260-123288-0025,13.445,HERE IT COMES THERE IT GLIDES NOW IT IS UP THE RAGGED STUMP OF THE MAST THENCE IT LIGHTLY LEAPS ON THE PROVISION BAG DESCENDS WITH A LIGHT BOUND AND JUST SKIMS THE POWDER MAGAZINE HORRIBLE,"Here it comes, there it glides. Now it is up the ragged stump of the mast. Then it lightly leaps on the provision bag, descends with a light bound and just skims the powder magazine. Horrible!",0.027777777777777776
librispeech_test_clean,8463-294828-0037,5.37,DEPARTING FROM FIVE HUNDRED THOUSAND THROATS THREE CHEERS BURST FORTH IN SUCCESSION,"Departing from 500,000 throats, three cheers burst forth in succession.",0.25
